pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,,,,,0,0,0,3,173.2792286130134,174.25328266900033,174.25328266900033,174.25328266900033,174.25328266900033,174.28691490201163,175.26478966200375,175.26478966200375,z,1,0.49562634399626404,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,,,,,0,1,1,1,175.78347207600018,176.77500196400797,176.77500196400797,176.77500196400797,176.77500196400797,176.7940503960126,177.78370764601277,177.78370764601277,v,1,0.6544603900110815,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,,,,,0,2,2,0,178.47201106100692,179.45520843699342,179.45520843699342,179.45520843699342,179.45520843699342,179.47655895299977,180.45979459601222,180.45979459601222,x,1,0.548464513005456,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,,,,,0,3,3,1,181.02931151198572,182.0262471929891,182.0262471929891,182.0262471929891,182.0262471929891,182.0454921349883,183.0198218729929,183.0198218729929,v,1,0.6587793840153608,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,,,,,1,0,4,3,183.70078649101197,184.68944559499505,184.68944559499505,184.68944559499505,184.68944559499505,184.70945835500606,185.7020364839991,185.7020364839991,z,1,0.5211312750179786,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,,,,,1,1,5,1,186.25160293199588,187.2368201870122,187.2368201870122,187.2368201870122,187.2368201870122,187.25393687799806,188.23562096100068,188.23562096100068,v,1,0.7224969750095624,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,,,,,1,2,6,1,188.99732140501146,190.0472592540027,190.0472592540027,190.0472592540027,190.0472592540027,190.0472592540027,191.0022483409848,191.0022483409848,v,1,0.6234531200316269,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,,,,,1,3,7,3,191.64327422599308,192.63813101800042,192.63813101800042,192.63813101800042,192.63813101800042,192.65374055100256,193.6402590229991,193.6402590229991,z,1,0.5248565280053299,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,,,,,2,0,8,3,194.1873893729935,195.18722905698814,195.18722905698814,195.18722905698814,195.18722905698814,195.18722905698814,196.18179763000808,196.18179763000808,z,1,0.3898418039898388,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,,,,,2,1,9,2,196.61292330600554,197.60422601900063,197.60422601900063,197.60422601900063,197.60422601900063,197.62139158000355,198.60938433400588,198.60938433400588,c,1,0.9256210390012711,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,,,,,2,2,10,0,199.57415882800706,200.5596815099998,200.5596815099998,200.5596815099998,200.5596815099998,200.57597231000545,201.56777259500814,201.56777259500814,x,1,0.5749014390166849,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,,,,,2,3,11,0,202.16588191798655,203.15480490599293,203.15480490599293,203.15480490599293,203.15480490599293,203.1731146230013,204.16846393898595,204.16846393898595,x,1,0.5269458980183117,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,,,,,3,0,12,1,204.73127034000936,205.71946698401007,205.71946698401007,205.71946698401007,205.71946698401007,205.73619197300286,206.72687361499993,206.72687361499993,v,1,0.7069825769867748,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,,,,,3,1,13,3,207.46943706698949,208.45593833900057,208.45593833900057,208.45593833900057,208.45593833900057,208.47568435998983,209.45947578400956,209.45947578400956,z,1,0.4544885650102515,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,,,,,3,2,14,3,209.93943501100875,210.93197342701023,210.93197342701023,210.93197342701023,210.93197342701023,210.95114362600725,211.93185467101284,211.93185467101284,z,1,0.42182788500213064,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,,,,,3,3,15,0,212.39205814199522,213.38630188800744,213.38630188800744,213.38630188800744,213.38630188800744,213.40269690498826,214.38621615301236,214.38621615301236,x,1,0.574996943003498,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,,,,,4,0,16,1,214.9843411059992,215.97100413200678,215.97100413200678,215.97100413200678,215.97100413200678,215.98915909600328,216.98379920001025,216.98379920001025,v,1,0.8468821049900725,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,,,,,4,1,17,2,217.85048529299092,218.84183488800772,218.84183488800772,218.84183488800772,218.84183488800772,218.85979446201236,219.85219570298796,219.85219570298796,c,1,0.7329834779957309,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,,,,,4,2,18,0,220.61552780499915,221.6033771210059,221.6033771210059,221.6033771210059,221.6033771210059,221.62076416399213,222.61277418999816,222.61277418999816,x,1,0.6853186240186915,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,,,,,4,3,19,2,223.31855858000927,224.3043942039949,224.3043942039949,224.3043942039949,224.3043942039949,224.32498687598854,225.31520373999956,225.31520373999956,c,1,0.6692171960021369,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,,,,,5,0,20,1,226.0205022559967,227.02165595500264,227.02165595500264,227.02165595500264,227.02165595500264,227.03784297700622,228.01691104201018,228.01691104201018,v,1,0.7240604739927221,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,,,,,5,1,21,3,228.7624099710083,229.7528361149889,229.7528361149889,229.7528361149889,229.7528361149889,229.770717470994,230.76781991901225,230.76781991901225,z,1,0.5881667069916148,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,,,,,5,2,22,2,231.38875752099557,232.38851659098873,232.38851659098873,232.38851659098873,232.38851659098873,232.41804778701044,233.3878134879924,233.3878134879924,c,1,0.854014507989632,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,,,,,5,3,23,3,234.27410140799475,235.27398289801204,235.27398289801204,235.27398289801204,235.27398289801204,235.28929318799055,236.27247927399003,236.27247927399003,z,1,0.5526731610007118,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,,,,,6,0,24,0,236.8491392910073,237.83816430700244,237.83816430700244,237.83816430700244,237.83816430700244,237.8577124309959,238.84767702699173,238.84767702699173,x,1,0.5731528140022419,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,,,,,6,1,25,0,239.4551015830075,240.4531831869972,240.4531831869972,240.4531831869972,240.4531831869972,240.471411867009,241.47678072098643,241.47678072098643,x,1,0.6057150250126142,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,,,,,6,2,26,0,242.10639814299066,243.1034519429959,243.1034519429959,243.1034519429959,243.1034519429959,243.11994527000934,244.1009443050134,244.1009443050134,x,1,0.49312368099344894,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,,,,,6,3,27,3,244.6300023710064,245.62100331499823,245.62100331499823,245.62100331499823,245.62100331499823,245.63620097300736,246.63413219701033,246.63413219701033,z,1,0.6923145200125873,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,,,,,7,0,28,2,247.36488798100618,248.353333971987,248.353333971987,248.353333971987,248.353333971987,248.37191745999735,249.3582966719987,249.3582966719987,c,1,0.6915934520075098,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,,,,,7,1,29,2,250.08417539100628,251.0798591299972,251.0798591299972,251.0798591299972,251.0798591299972,251.10114110598806,252.08182159400894,252.08182159400894,c,1,0.5795993370120414,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,,,,,7,2,30,1,252.68179879098898,253.67249221701059,253.67249221701059,253.67249221701059,253.67249221701059,253.6926448069862,254.6808309199987,254.6808309199987,v,1,0.8911055710050277,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,,,,,7,3,31,0,255.592186578986,256.58642682401114,256.58642682401114,256.58642682401114,256.58642682401114,256.6026804439898,257.5905868280097,257.5905868280097,x,1,0.5908223120204639,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,,,,,8,0,32,0,258.2017836140003,259.20294154499425,259.20294154499425,259.20294154499425,259.20294154499425,259.20294154499425,260.19847051100805,260.19847051100805,x,1,0.505872914014617,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,,,,,8,1,33,3,260.74561719200574,261.7373102080019,261.7373102080019,261.7373102080019,261.7373102080019,261.75320209399797,262.7506233479944,262.7506233479944,z,1,0.8139399779902305,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,,,,,8,2,34,0,263.5911602609849,264.5855708490126,264.5855708490126,264.5855708490126,264.5855708490126,264.6026060389995,265.58634484300273,265.58634484300273,x,1,0.6296214570174925,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,,,,,8,3,35,1,266.2406116100028,267.2358643269981,267.2358643269981,267.2358643269981,267.2358643269981,267.25273752299836,268.24035450900556,268.24035450900556,v,1,0.6450749500072561,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,,,,,9,0,36,2,268.9230643720075,269.92017709699576,269.92017709699576,269.92017709699576,269.92017709699576,269.94199438998476,270.91867359599564,270.91867359599564,c,1,0.7484489239868708,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,,,,,9,1,37,1,271.69819348098827,272.7021937079844,272.7021937079844,272.7021937079844,272.7021937079844,272.7021937079844,273.69753284199396,273.69753284199396,v,1,0.923162888007937,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,,,,,9,2,38,2,274.6439401140087,275.64225507099763,275.64225507099763,275.64225507099763,275.64225507099763,275.6601152229996,276.6426804040093,276.6426804040093,c,1,0.7475469080090988,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,,,,,9,3,39,1,277.42499629600206,278.4408139020088,278.4408139020088,278.4408139020088,278.4408139020088,278.4408139020088,279.41506843001116,279.41506843001116,v,1,0.8515155049972236,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,,,,,10,0,40,3,280.2893729589996,281.2900581099966,281.2900581099966,281.2900581099966,281.2900581099966,281.30709844001103,282.27750462898985,282.27750462898985,z,1,0.4757036970113404,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,,,,,10,1,41,1,282.7930631309864,283.7849156500015,283.7849156500015,283.7849156500015,283.7849156500015,283.8014001479896,284.79337726099766,284.79337726099766,v,1,0.7703295630053617,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,,,,,10,2,42,2,285.5827669480059,286.5721254030068,286.5721254030068,286.5721254030068,286.5721254030068,286.59194281700184,287.56941712100524,287.56941712100524,c,1,0.8729885740031023,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,,,,,10,3,43,2,288.4811224970035,289.4703924260102,289.4703924260102,289.4703924260102,289.4703924260102,289.48780140301096,290.4804481889878,290.4804481889878,c,1,1.0807125750288833,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,,,,,11,0,44,3,291.58993248600746,292.5860762549855,292.5860762549855,292.5860762549855,292.5860762549855,292.60348276401055,293.581078023999,293.581078023999,z,1,0.48933506998582743,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,,,,,11,1,45,0,294.1073744870082,295.1021247819881,295.1021247819881,295.1021247819881,295.1021247819881,295.12055178399896,296.09393573898706,296.09393573898706,x,1,0.5423576949979179,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,,,,,11,2,46,2,296.666227654001,297.6686299550056,297.6686299550056,297.6686299550056,297.6686299550056,297.6686299550056,298.66921184098464,298.66921184098464,c,1,1.015953806025209,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,,,,,11,3,47,2,299.7055009029864,300.70169543501106,300.70169543501106,300.70169543501106,300.70169543501106,300.7187423449941,301.7059070119867,301.7059070119867,c,1,0.6693210760131478,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
